,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2022-07-25,304.834557578493,285.87395899288236,342.5404308160514,304.834557578493,304.834557578493,8.15221407517641,8.15221407517641,8.15221407517641,8.15221407517641,8.15221407517641,8.15221407517641,0.0,0.0,0.0,312.9867716536694
1,2022-07-26,303.95925822936965,280.7828156903196,338.7013503484963,303.95925822936965,303.95925822936965,6.544577627090109,6.544577627090109,6.544577627090109,6.544577627090109,6.544577627090109,6.544577627090109,0.0,0.0,0.0,310.5038358564598
2,2022-07-27,303.0839588802463,281.8919122882636,338.37130993410614,303.0839588802463,303.0839588802463,7.789508054032718,7.789508054032718,7.789508054032718,7.789508054032718,7.789508054032718,7.789508054032718,0.0,0.0,0.0,310.873466934279
3,2022-07-28,302.208659531123,282.6280245087255,337.6426930089917,302.208659531123,302.208659531123,7.200193369736087,7.200193369736087,7.200193369736087,7.200193369736087,7.200193369736087,7.200193369736087,0.0,0.0,0.0,309.4088529008591
4,2022-07-29,301.33336018199964,280.6919699053209,337.22131822041706,301.33336018199964,301.33336018199964,7.586325339786084,7.586325339786084,7.586325339786084,7.586325339786084,7.586325339786084,7.586325339786084,0.0,0.0,0.0,308.9196855217857
5,2022-08-01,298.70746213462957,277.9592947477983,337.51823075593995,298.70746213462957,298.70746213462957,8.152214075173774,8.152214075173774,8.152214075173774,8.152214075173774,8.152214075173774,8.152214075173774,0.0,0.0,0.0,306.85967620980335
6,2022-08-02,297.8321627855062,275.38824417731513,335.2777503887778,297.8321627855062,297.8321627855062,6.544577627082388,6.544577627082388,6.544577627082388,6.544577627082388,6.544577627082388,6.544577627082388,0.0,0.0,0.0,304.3767404125886
7,2022-08-03,296.9568634363829,274.97227203961853,331.40553200332283,296.9568634363829,296.9568634363829,7.789508054034214,7.789508054034214,7.789508054034214,7.789508054034214,7.789508054034214,7.789508054034214,0.0,0.0,0.0,304.7463714904171
8,2022-08-04,296.08156408725955,275.57330371675044,331.0375649377006,296.08156408725955,296.08156408725955,7.200193369757818,7.200193369757818,7.200193369757818,7.200193369757818,7.200193369757818,7.200193369757818,0.0,0.0,0.0,303.28175745701736
9,2022-08-05,295.2062647239874,274.3934407437847,333.30946606904666,295.2062647239874,295.2062647239874,7.586325339720864,7.586325339720864,7.586325339720864,7.586325339720864,7.586325339720864,7.586325339720864,0.0,0.0,0.0,302.79259006370825
10,2022-08-08,292.5803666341706,272.91610673706765,329.068869967828,292.5803666341706,292.5803666341706,8.152214075171138,8.152214075171138,8.152214075171138,8.152214075171138,8.152214075171138,8.152214075171138,0.0,0.0,0.0,300.73258070934173
11,2022-08-09,291.7050672708984,268.27459775280926,329.552812143436,291.7050672708984,291.7050672708984,6.544577627085496,6.544577627085496,6.544577627085496,6.544577627085496,6.544577627085496,6.544577627085496,0.0,0.0,0.0,298.2496448979839
12,2022-08-10,290.82976790762615,268.95813321140093,323.39116796598927,290.82976790762615,290.82976790762615,7.789508054034196,7.789508054034196,7.789508054034196,7.789508054034196,7.789508054034196,7.789508054034196,0.0,0.0,0.0,298.6192759616603
13,2022-08-11,289.9544685443539,268.4585765981474,325.4859542710847,289.9544685443539,289.9544685443539,7.20019336975245,7.20019336975245,7.20019336975245,7.20019336975245,7.20019336975245,7.20019336975245,0.0,0.0,0.0,297.1546619141064
14,2022-08-12,289.07916918108174,267.218254331557,324.4313401230944,289.07916918108174,289.07916918108174,7.586325339802548,7.586325339802548,7.586325339802548,7.586325339802548,7.586325339802548,7.586325339802548,0.0,0.0,0.0,296.6654945208843
